CPU_Total,69.301,6611.400
GPU_Global,0.199,8.902
GPU_Constant,0.209,7.857
GPU_Texture,0.112,35.034
CPU_Total,69.482,6674.768
GPU_Global,0.216,8.905
GPU_Constant,0.223,7.868
GPU_Texture,0.119,35.035
CPU_Total,69.640,6601.911
GPU_Global,0.199,8.905
GPU_Constant,0.210,7.871
GPU_Texture,0.184,17.544
CPU_Total,69.981,6626.736
GPU_Global,0.197,8.905
GPU_Constant,0.210,7.859
GPU_Texture,0.183,17.543
CPU_Total,70.948,6605.447
GPU_Global,0.199,8.905
GPU_Constant,0.209,7.870
GPU_Texture,0.183,17.544
CPU_Total,69.844,6618.015
GPU_Global,0.199,8.906
GPU_Constant,0.210,7.859
GPU_Texture,0.184,17.543
CPU_Total,69.243,6591.131
GPU_Global,0.209,9.845
GPU_Constant,0.216,7.876
GPU_Texture,0.182,17.543
CPU_Total,69.834,6603.512
GPU_Global,0.199,8.899
GPU_Constant,0.221,7.725
GPU_Texture,0.198,17.543
CPU_Total,68.935,6602.359
GPU_Global,0.198,8.905
GPU_Constant,0.228,7.857
GPU_Texture,0.185,17.544
CPU_Total,69.307,6779.829
GPU_Global,0.198,8.907
GPU_Constant,0.212,7.865
GPU_Texture,0.184,17.544
CPU_Total,73.292,6603.415
GPU_Global,0.199,9.714
GPU_Constant,0.210,7.865
GPU_Texture,0.188,99.121
CPU_Total,70.251,6617.785
GPU_Global,0.199,8.908
GPU_Constant,0.209,7.878
GPU_Texture,0.184,17.543
CPU_Total,68.574,6650.530
GPU_Global,0.198,8.905
GPU_Constant,0.208,7.871
GPU_Texture,0.185,17.544
CPU_Total,69.054,6604.560
GPU_Global,0.197,8.907
GPU_Constant,0.210,7.859
GPU_Texture,0.193,108.942
CPU_Total,77.026,6620.796
GPU_Global,0.199,8.905
GPU_Constant,0.208,7.875
GPU_Texture,0.183,17.543
CPU_Total,68.664,6594.477
GPU_Global,0.198,8.904
GPU_Constant,0.208,7.871
GPU_Texture,0.194,107.700
CPU_Total,76.613,6624.205
GPU_Global,0.199,8.907
GPU_Constant,0.208,7.871
GPU_Texture,0.184,17.544
CPU_Total,69.819,6558.453
GPU_Global,0.198,8.907
GPU_Constant,0.209,7.871
GPU_Texture,0.189,106.354
